iter	Passed	Remaining
0	11	5638
1	30	7586
2	49	8185
3	67	8355
4	84	8352
5	101	8350
6	118	8349
7	134	8295
8	150	8225
9	168	8234
10	185	8224
11	201	8199
12	217	8161
13	234	8153
14	244	7895
15	261	7898
16	277	7888
17	294	7886
18	311	7880
19	329	7901
20	349	7975
21	367	7983
22	384	7966
23	400	7941
24	416	7911
25	434	7913
26	450	7889
27	469	7907
28	485	7879
29	502	7872
30	518	7845
31	535	7830
32	551	7802
33	568	7791
34	584	7764
35	601	7753
36	618	7742
37	634	7715
38	650	7693
39	668	7684
40	684	7666
41	700	7641
42	718	7631
43	734	7612
44	751	7601
45	768	7580
46	784	7564
47	800	7541
48	818	7529
49	833	7498
50	850	7484
51	866	7468
52	883	7450
53	900	7436
54	916	7418
55	935	7415
56	956	7432
57	977	7450
58	995	7441
59	1011	7418
60	1027	7397
61	1043	7374
62	1060	7356
63	1076	7333
64	1093	7317
65	1109	7297
66	1126	7281
67	1144	7272
68	1160	7248
69	1176	7229
70	1194	7219
71	1210	7195
72	1227	7182
73	1244	7166
74	1261	7146
75	1277	7129
76	1294	7108
77	1310	7090
78	1326	7071
79	1342	7049
80	1362	7048
81	1379	7032
82	1397	7022
83	1413	7001
84	1430	6981
85	1446	6965
86	1464	6949
87	1482	6939
88	1494	6902
89	1510	6882
90	1527	6863
91	1546	6856
92	1564	6844
93	1581	6829
94	1599	6817
95	1617	6805
96	1635	6793
97	1651	6774
98	1669	6760
99	1685	6743
100	1703	6731
101	1720	6713
102	1737	6697
103	1754	6678
104	1770	6660
105	1787	6644
106	1803	6625
107	1821	6609
108	1837	6591
109	1854	6574
110	1871	6557
111	1889	6544
112	1905	6527
113	1923	6512
114	1941	6500
115	1959	6485
116	1975	6468
117	1993	6452
118	2011	6438
119	2027	6421
120	2045	6406
121	2063	6392
122	2080	6376
123	2098	6361
124	2115	6345
125	2133	6333
126	2150	6316
127	2169	6303
128	2186	6288
129	2204	6273
130	2220	6255
131	2237	6238
132	2254	6221
133	2271	6204
134	2289	6190
135	2306	6173
136	2325	6162
137	2342	6145
138	2363	6137
139	2382	6125
140	2400	6111
141	2417	6096
142	2435	6079
143	2452	6063
144	2470	6048
145	2489	6037
146	2508	6023
147	2525	6007
148	2543	5991
149	2561	5977
150	2577	5958
151	2595	5943
152	2612	5924
153	2629	5908
154	2648	5894
155	2665	5878
156	2682	5861
157	2699	5842
158	2717	5827
159	2733	5807
160	2749	5790
161	2765	5769
162	2783	5754
163	2799	5736
164	2815	5717
165	2833	5701
166	2850	5683
167	2866	5665
168	2884	5649
169	2900	5630
170	2916	5611
171	2933	5594
172	2949	5575
173	2966	5557
174	2984	5542
175	3000	5523
176	3017	5506
177	3034	5488
178	3050	5470
179	3066	5452
180	3083	5434
181	3100	5416
182	3117	5400
183	3134	5383
184	3151	5366
185	3168	5349
186	3185	5331
187	3201	5313
188	3219	5297
189	3235	5278
190	3251	5260
191	3268	5242
192	3286	5227
193	3302	5209
194	3319	5192
195	3335	5174
196	3351	5155
197	3368	5137
198	3385	5121
199	3406	5109
200	3423	5092
201	3440	5075
202	3456	5056
203	3473	5039
204	3491	5023
205	3508	5007
206	3525	4990
207	3542	4973
208	3559	4956
209	3576	4938
210	3593	4921
211	3610	4904
212	3626	4886
213	3643	4870
214	3661	4852
215	3677	4835
216	3695	4818
217	3710	4800
218	3728	4783
219	3744	4765
220	3761	4748
221	3778	4731
222	3795	4714
223	3811	4695
224	3829	4680
225	3858	4677
226	3880	4666
227	3900	4653
228	3919	4637
229	3935	4620
230	3954	4604
231	3970	4586
232	3988	4570
233	4004	4551
234	4022	4535
235	4038	4517
236	4056	4502
237	4074	4485
238	4093	4470
239	4111	4454
240	4131	4439
241	4148	4422
242	4165	4405
243	4182	4387
244	4199	4370
245	4215	4353
246	4232	4335
247	4249	4318
248	4268	4302
249	4285	4285
250	4302	4267
251	4319	4250
252	4335	4232
253	4353	4215
254	4370	4199
255	4387	4181
256	4403	4163
257	4424	4149
258	4443	4135
259	4460	4117
260	4476	4099
261	4496	4084
262	4519	4072
263	4546	4064
264	4569	4051
265	4585	4033
266	4603	4017
267	4619	3998
268	4636	3981
269	4653	3963
270	4672	3948
271	4688	3930
272	4705	3912
273	4722	3894
274	4739	3877
275	4756	3860
276	4773	3842
277	4790	3825
278	4806	3807
279	4823	3790
280	4839	3771
281	4856	3754
282	4873	3737
283	4890	3719
284	4908	3702
285	4925	3685
286	4943	3668
287	4960	3651
288	4977	3634
289	4994	3616
290	5011	3599
291	5027	3581
292	5043	3563
293	5061	3546
294	5078	3528
295	5094	3511
296	5111	3493
297	5129	3477
298	5146	3459
299	5163	3442
300	5179	3424
301	5197	3407
302	5213	3389
303	5232	3373
304	5248	3355
305	5266	3338
306	5283	3321
307	5300	3304
308	5316	3286
309	5333	3269
310	5351	3251
311	5367	3234
312	5385	3217
313	5403	3200
314	5419	3182
315	5438	3166
316	5457	3150
317	5475	3133
318	5493	3117
319	5511	3100
320	5528	3082
321	5546	3066
322	5563	3048
323	5579	3030
324	5597	3013
325	5614	2996
326	5631	2979
327	5647	2961
328	5664	2944
329	5680	2926
330	5697	2909
331	5713	2891
332	5730	2873
333	5747	2856
334	5763	2838
335	5780	2821
336	5797	2804
337	5814	2786
338	5831	2769
339	5848	2752
340	5865	2734
341	5881	2717
342	5898	2699
343	5914	2682
344	5932	2665
